timestamp(gps),latitude,longitude,altitude,timestamp(sensor),temperature,pressure,humidity
,,,,108,35.08,66.18,998.07
,,,,108,35.08,66.18,998.07
,,,,1758792092,34.83,66.89,998.18
,,,,1758792092,34.83,66.89,998.18
1758792139,23.7807353,90.3787319,33.19,1758792092,34.83,66.89,998.18
1758792141,23.7807357,90.3787321,33.22,1758792092,34.83,66.89,998.18
1758792143,23.7807364,90.3787324,33.25,1758792092,34.83,66.89,998.18
1758792145,23.7807364,90.3787326,33.3,1758792092,34.83,66.89,998.18
1758792147,23.7807381,90.3787328,33.44,1758792092,34.83,66.89,998.18
1758792149,23.7807383,90.3787332,33.47,1758792092,34.83,66.89,998.18
1758792151,23.7807368,90.3787331,33.4,1758792092,34.83,66.89,998.18
1758792153,23.7807357,90.3787327,33.27,1758792092,34.83,66.89,998.18
1758792155,23.780735,90.3787327,33.2,1758792092,34.83,66.89,998.18
1758792157,23.7807348,90.378733,33.1,1758792092,34.83,66.89,998.18
1758792159,23.7807345,90.378733,33.05,1758792092,34.83,66.89,998.18
1758792161,23.7807337,90.3787331,33.02,1758792092,34.83,66.89,998.18
1758792163,23.7807339,90.3787335,33.09,1758792092,34.83,66.89,998.18
1758792165,23.7807335,90.3787338,33.05,1758792092,34.83,66.89,998.18
1758792167,23.7807332,90.3787348,33.0,1758792092,34.83,66.89,998.18
1758792169,23.7807336,90.3787352,33.03,1758792092,34.83,66.89,998.18
1758792171,23.7807354,90.3787361,33.12,1758792092,34.83,66.89,998.18
1758792173,23.7807368,90.3787368,33.19,1758792092,34.83,66.89,998.18
1758792175,23.7807398,90.3787379,33.18,1758792092,34.83,66.89,998.18
1758792177,23.780741,90.3787386,33.17,1758792092,34.83,66.89,998.18
1758792179,23.7807431,90.3787396,33.18,1758792092,34.83,66.89,998.18
1758792181,23.7807453,90.3787403,33.15,1758792092,34.83,66.89,998.18
1758792183,23.780746,90.3787405,33.11,1758792092,34.83,66.89,998.18
1758792185,23.7807469,90.3787413,33.09,1758792092,34.83,66.89,998.18
1758792187,23.7807468,90.378742,33.0,1758792092,34.83,66.89,998.18
1758792189,23.780746,90.3787424,32.87,1758792092,34.83,66.89,998.18
1758792191,23.7807458,90.3787427,32.82,1758792092,34.83,66.89,998.18
1758792193,23.7807453,90.3787431,32.85,1758792092,34.83,66.89,998.18
1758792195,23.7807441,90.3787432,32.89,1758792092,34.83,66.89,998.18
1758792197,23.780743,90.3787437,32.87,1758792092,34.83,66.89,998.18
1758792199,23.7807421,90.3787439,32.85,1758792092,34.83,66.89,998.18
1758792201,23.7807421,90.378744,32.97,1758792092,34.83,66.89,998.18
1758792203,23.7807424,90.3787443,33.08,1758792092,34.83,66.89,998.18
1758792205,23.7807424,90.3787443,33.11,1758792092,34.83,66.89,998.18
1758792207,23.7807418,90.3787446,33.11,1758792092,34.83,66.89,998.18
1758792209,23.7807399,90.3787453,33.09,1758792092,34.83,66.89,998.18
1758792211,23.7807382,90.3787459,33.1,1758792092,34.83,66.89,998.18
1758792213,23.780736,90.378746,33.1,1758792092,34.83,66.89,998.18
1758792215,23.7807337,90.3787464,33.12,1758792092,34.83,66.89,998.18
1758792217,23.7807304,90.3787472,33.04,1758792092,34.83,66.89,998.18
1758792219,23.7807279,90.3787481,33.06,1758792092,34.83,66.89,998.18
1758792221,23.7807262,90.3787479,33.04,1758792092,34.83,66.89,998.18
1758792223,23.780724,90.3787484,33.03,1758792092,34.83,66.89,998.18
1758792225,23.7807232,90.3787486,33.07,1758792092,34.83,66.89,998.18
1758792227,23.7807218,90.3787485,33.01,1758792092,34.83,66.89,998.18
1758792229,23.7807223,90.3787483,33.02,1758792092,34.83,66.89,998.18
1758792231,23.7807231,90.3787477,33.07,1758792092,34.83,66.89,998.18
1758792233,23.7807231,90.3787477,33.05,1758792092,34.83,66.89,998.18
1758792235,23.780725,90.3787473,33.0,1758792092,34.83,66.89,998.18
1758792237,23.7807256,90.3787469,32.89,1758792092,34.83,66.89,998.18
1758792239,23.7807267,90.3787463,32.88,1758792092,34.83,66.89,998.18
1758792241,23.7807257,90.3787463,34.09,1758792092,34.83,66.89,998.18
1758792243,23.7807264,90.3787462,37.15,1758792092,34.83,66.89,998.18
1758792245,23.7807259,90.3787454,38.08,1758792092,34.83,66.89,998.18
1758792247,23.7807274,90.3787464,38.18,1758792092,34.83,66.89,998.18
1758792249,23.7807274,90.378746,38.14,1758792092,34.83,66.89,998.18
1758792251,23.7807274,90.3787461,38.09,1758792092,34.83,66.89,998.18
1758792253,23.7807281,90.3787472,38.12,1758792092,34.83,66.89,998.18
1758792255,23.7807277,90.3787461,38.13,1758792092,34.83,66.89,998.18
1758792257,23.7807251,90.378747,38.18,1758792092,34.83,66.89,998.18
1758792259,23.7807228,90.378748,38.16,1758792092,34.83,66.89,998.18
1758792261,23.7807232,90.3787479,38.12,1758792092,34.83,66.89,998.18
1758792263,23.7807226,90.3787479,38.12,1758792092,34.83,66.89,998.18
1758792265,23.7807229,90.3787474,37.55,1758792092,34.83,66.89,998.18
1758792267,23.7807226,90.3787486,36.59,1758792092,34.83,66.89,998.18
1758792269,23.7807235,90.3787471,35.62,1758792092,34.83,66.89,998.18
1758792271,23.7807229,90.3787474,34.49,1758792092,34.83,66.89,998.18
1758792273,23.7807233,90.3787473,33.79,1758792092,34.83,66.89,998.18
1758792275,23.7807229,90.3787462,33.47,1758792092,34.83,66.89,998.18
1758792277,23.7807223,90.378746,33.28,1758792092,34.83,66.89,998.18
