timestamp(gps),latitude,longitude,altitude,timestamp(sensor),temperature,pressure,humidity
1758792566,23.7807059,90.3787539,33.0,,,,
1758792568,23.7807114,90.3787526,33.04,,,,
1758792570,23.7807161,90.3787513,33.0,,,,
1758792572,23.7807216,90.3787504,33.02,,,,
1758792574,23.780727,90.3787497,33.09,,,,
1758792576,23.7807318,90.3787491,33.09,,,,
1758792578,23.7807361,90.3787482,33.09,,,,
1758792580,23.7807348,90.3787483,35.41,,,,
1758792582,23.7807354,90.378749,36.1,,,,
1758792584,23.7807355,90.3787486,36.08,,,,
1758792586,23.7807359,90.3787479,36.08,,,,
1758792588,23.7807356,90.3787481,36.07,,,,
1758792590,23.780735,90.3787485,36.07,,,,
1758792592,23.7807344,90.3787487,36.06,,,,
1758792594,23.7807345,90.3787486,36.04,,,,
1758792596,23.780735,90.3787477,36.04,,,,
1758792598,23.7807354,90.3787478,36.11,,,,
1758792600,23.7807347,90.3787488,36.09,,,,
1758792602,23.7807342,90.3787484,36.07,,,,
1758792604,23.780734,90.3787475,36.09,,,,
1758792606,23.7807343,90.3787485,36.09,,,,
1758792608,23.7807345,90.3787483,36.12,,,,
1758792610,23.7807348,90.3787481,36.11,,,,
1758792612,23.7807348,90.3787477,36.14,,,,
1758792614,23.7807339,90.378748,36.07,,,,
1758792616,23.7807333,90.378748,36.04,,,,
1758792618,23.7807333,90.3787474,36.1,,,,
1758792620,23.7807355,90.3787474,36.21,,,,
1758792622,23.7807345,90.3787476,36.19,,,,
1758792624,23.7807348,90.3787481,36.19,,,,
1758792626,23.7807334,90.3787478,36.03,,,,
1758792628,23.7807343,90.3787481,36.05,,,,
1758792630,23.780734,90.3787479,36.07,,,,
1758792632,23.7807339,90.3787471,36.06,,,,
1758792634,23.7807343,90.3787472,36.11,,,,
1758792636,23.7807343,90.3787488,36.1,,,,
1758792638,23.7807341,90.3787478,36.08,,,,
1758792640,23.7807353,90.3787466,36.02,,,,
1758792642,23.7807602,90.378731,32.37,,,,
1758792644,23.7807622,90.3787281,28.77,,,,
1758792646,23.7807571,90.378735,32.1,,,,
1758792648,23.78075,90.3787332,33.0,,,,
1758792650,23.7807357,90.3787313,34.31,,,,
1758792652,23.7807237,90.3787188,34.11,,,,
1758792654,23.7807243,90.3787094,33.82,,,,
1758792656,23.7807236,90.3787028,33.78,,,,
1758792658,23.7807257,90.3787061,33.99,,,,
1758792660,23.7807295,90.3787097,33.82,,,,
