timestamp(gps),latitude,longitude,altitude,timestamp(sensor),temperature,pressure,humidity
,,,,1758787487,29.90,73.49,999.24
,,,,1758787487,29.90,73.49,999.24
,,,,1758787492,29.58,74.01,999.24
,,,,1758787492,29.58,74.01,999.24
,,,,1758787497,29.34,72.54,999.23
,,,,1758787497,29.34,72.54,999.23
,,,,1758787503,29.16,71.78,999.23
,,,,1758787503,29.16,71.78,999.23
,,,,1758787508,29.04,71.54,999.22
,,,,1758787508,29.04,71.54,999.22
,,,,1758787513,28.94,71.15,999.22
,,,,1758787513,28.94,71.15,999.22
,,,,1758787519,28.88,70.93,999.21
,,,,1758787519,28.88,70.93,999.21
